station,model,target,rmse,mae,r2,n_rows
AIIMS,multi_xgb,y_NO_t+1,0.2903025150299072,0.1140137016773223,0.92364115471082,17823
AIIMS,multi_xgb,y_NOX_t+1,0.1856646239757537,0.065863125026226,0.9613750327769583,17823
AIIMS,multi_xgb,y_BENZ_t+1,3.941407203674317,0.4827627837657928,-161.27035360021176,17823
BHATAGAON,multi_xgb,y_PM2.5_t+1,7.84952449798584,2.939591407775879,0.774655835197115,17704
BHATAGAON,multi_xgb,y_PM10_t+1,0.4246183335781097,0.1044188737869262,0.6717371945847863,17704
BHATAGAON,multi_xgb,y_NO2_t+1,0.1950127333402633,0.0953535959124565,0.6888201093013575,17704
BHATAGAON,multi_xgb,y_SO2_t+1,0.247935339808464,0.0702855512499809,0.2971662749397746,17704
BHATAGAON,multi_xgb,y_CO_t+1,0.8851182460784912,0.1397732347249984,0.4942224522542158,17704
BHATAGAON,multi_xgb,y_O3_t+1,0.8147196173667908,0.1690136045217514,0.0340807056822635,17704
BHATAGAON,multi_xgb,y_NH3_t+1,0.0237947590649127,0.0071182358078658,-3.122973462373264,17704
BHATAGAON,multi_xgb,y_NO_t+1,0.2973653674125671,0.1316759586334228,0.9217261737934628,17704
BHATAGAON,multi_xgb,y_NOX_t+1,0.1970169991254806,0.0970310866832733,0.8734548846828216,17704
BHATAGAON,multi_xgb,y_BENZ_t+1,0.0622287951409816,0.0079281870275735,0.7022830302276113,17704
IGKV,multi_xgb,y_PM2.5_t+1,11.279145240783691,5.47960901260376,0.5031126346096207,12901
IGKV,multi_xgb,y_PM10_t+1,0.1771308332681656,0.1053006500005722,0.8883269389962731,12901
IGKV,multi_xgb,y_NO2_t+1,0.125620424747467,0.0614666193723678,0.655748462205342,12901
IGKV,multi_xgb,y_SO2_t+1,0.5351725220680237,0.2650332450866699,-0.7008592067076878,12901
IGKV,multi_xgb,y_CO_t+1,0.1654612869024276,0.0695746541023254,0.8480074972316136,12901
IGKV,multi_xgb,y_O3_t+1,0.637178897857666,0.1796436905860901,0.1287437627136678,12901
IGKV,multi_xgb,y_NH3_t+1,0.1330873817205429,0.0323744490742683,-1.5864226108299215,12901
IGKV,multi_xgb,y_NO_t+1,0.2375008314847946,0.0541646778583526,0.6405039837225794,12901
IGKV,multi_xgb,y_NOX_t+1,0.2576608061790466,0.0848309844732284,0.3820276624736772,12901
IGKV,multi_xgb,y_BENZ_t+1,0.1181606948375701,0.0372468158602714,0.5006065715499752,12901
SILTARA,multi_xgb,y_PM2.5_t+1,13.8456449508667,5.459442138671875,0.6906767371124116,9196
SILTARA,multi_xgb,y_PM10_t+1,0.6318183541297913,0.2675694823265075,0.7167638942636321,9196
SILTARA,multi_xgb,y_NO2_t+1,0.247786596417427,0.1339266002178192,0.638879524321988,9196
SILTARA,multi_xgb,y_SO2_t+1,0.9881470799446106,0.1996906697750091,-19.95529700968029,9196
SILTARA,multi_xgb,y_CO_t+1,0.3746503889560699,0.1266531646251678,0.0686477644300809,9196
SILTARA,multi_xgb,y_O3_t+1,2.632328987121582,0.2475732415914535,-0.002042544962741,9196
SILTARA,multi_xgb,y_NH3_t+1,0.131377637386322,0.0276030208915472,-2.818900903637818,9196
SILTARA,multi_xgb,y_NO_t+1,0.4146503508090973,0.1873117238283157,0.8749779733131535,9196
SILTARA,multi_xgb,y_NOX_t+1,0.2796947062015533,0.1338987052440643,0.870713944925259,9196
SILTARA,multi_xgb,y_BENZ_t+1,0.0392752438783645,0.0138787487521767,0.575188422376858,9196
ALL,multi_lstm,y_PM2.5_t+1,10.503005981445312,6.911975860595703,0.7054264896728686,57240
ALL,multi_lstm,y_PM10_t+1,0.5442783832550049,0.35025450587272644,0.5780428955830843,57240
ALL,multi_lstm,y_NO2_t+1,0.2840096056461334,0.18698769807815552,0.7400135374803107,57240
ALL,multi_lstm,y_SO2_t+1,0.4061976671218872,0.18831650912761688,0.07392774675570535,57240
ALL,multi_lstm,y_CO_t+1,0.5743100047111511,0.19949540495872498,0.49334022553257906,57240
ALL,multi_lstm,y_O3_t+1,1.1585148572921753,0.2233944684267044,0.09663962969012418,57240
ALL,multi_lstm,y_NH3_t+1,0.15269184112548828,0.10485740751028061,0.1345864792594481,57240
ALL,multi_lstm,y_NO_t+1,0.5263620615005493,0.26970118284225464,0.7305986813938186,57240
ALL,multi_lstm,y_NOX_t+1,0.3609631657600403,0.18947912752628326,0.7585805199873731,57240
ALL,multi_lstm,y_BENZ_t+1,0.37779054045677185,0.20281893014907837,-0.6803152666615448,57240
AIIMS,multi_lstm,y_PM2.5_t+1,12.471582412719727,9.210351943969727,0.6360465921313475,0
AIIMS,multi_lstm,y_PM10_t+1,0.5149148106575012,0.38643211126327515,0.5906619113302236,0
AIIMS,multi_lstm,y_NO2_t+1,0.2763764262199402,0.20289446413516998,0.8830691411224595,0
AIIMS,multi_lstm,y_SO2_t+1,0.5688247084617615,0.23764221370220184,-0.0082204318891681,0
AIIMS,multi_lstm,y_CO_t+1,0.3572246730327606,0.19770705699920654,0.517186601632198,0
AIIMS,multi_lstm,y_O3_t+1,0.3587898910045624,0.21273276209831238,0.15542408371854144,0
AIIMS,multi_lstm,y_NH3_t+1,0.204448863863945,0.1496073603630066,0.10316650291429963,0
AIIMS,multi_lstm,y_NO_t+1,0.6939526796340942,0.3625970482826233,0.564719150917325,0
AIIMS,multi_lstm,y_NOX_t+1,0.4975495934486389,0.2770369052886963,0.7215304318727914,0
AIIMS,multi_lstm,y_BENZ_t+1,0.653052031993866,0.4881112575531006,-3.489498579888031,0
BHATAGAON,multi_lstm,y_PM2.5_t+1,9.611923217773438,5.518572807312012,0.6634971109086727,0
BHATAGAON,multi_lstm,y_PM10_t+1,0.5202020406723022,0.2552963197231293,0.50914170707303,0
BHATAGAON,multi_lstm,y_NO2_t+1,0.3056662976741791,0.19329145550727844,0.2039847018295574,0
BHATAGAON,multi_lstm,y_SO2_t+1,0.27755582332611084,0.15664973855018616,0.1173993332967973,0
BHATAGAON,multi_lstm,y_CO_t+1,0.9224671125411987,0.22376422584056854,0.4478566958529475,0
BHATAGAON,multi_lstm,y_O3_t+1,0.7215981483459473,0.19346755743026733,0.24587977306190922,0
BHATAGAON,multi_lstm,y_NH3_t+1,0.11172878742218018,0.07346849888563156,-89.59861814520453,0
BHATAGAON,multi_lstm,y_NO_t+1,0.42237037420272827,0.21750399470329285,0.838412296966625,0
BHATAGAON,multi_lstm,y_NOX_t+1,0.2661568522453308,0.1543012261390686,0.7625611685772901,0
BHATAGAON,multi_lstm,y_BENZ_t+1,0.1469772756099701,0.07637792080640793,-0.6710712771430822,0
IGKV,multi_lstm,y_PM2.5_t+1,6.030233860015869,4.863985538482666,0.8581758721455944,0
IGKV,multi_lstm,y_PM10_t+1,0.41024717688560486,0.3641590476036072,0.4028680517735087,0
IGKV,multi_lstm,y_NO2_t+1,0.16015127301216125,0.11287499219179153,0.4361335310213863,0
IGKV,multi_lstm,y_SO2_t+1,0.37215352058410645,0.16324426233768463,0.18191117546985747,0
IGKV,multi_lstm,y_CO_t+1,0.18029345571994781,0.13092872500419617,0.8186137077616943,0
IGKV,multi_lstm,y_O3_t+1,0.5762619972229004,0.25497493147850037,0.29073509697533384,0
IGKV,multi_lstm,y_NH3_t+1,0.12053098529577255,0.0868598222732544,-1.1058292193512873,0
IGKV,multi_lstm,y_NO_t+1,0.23275551199913025,0.10540491342544556,0.6566581094404607,0
IGKV,multi_lstm,y_NOX_t+1,0.2065219283103943,0.08798582851886749,0.6057592820228135,0
IGKV,multi_lstm,y_BENZ_t+1,0.0861816257238388,0.06105569005012512,0.7266745916310411,0
SILTARA,multi_lstm,y_PM2.5_t+1,12.686566352844238,8.01266098022461,0.7169037567619337,0
SILTARA,multi_lstm,y_PM10_t+1,0.7657941579818726,0.44395291805267334,0.5787885902481196,0
SILTARA,multi_lstm,y_NO2_t+1,0.3764244019985199,0.24809077382087708,0.1417282521772889,0
SILTARA,multi_lstm,y_SO2_t+1,0.2521737515926361,0.1887827217578888,-0.35566651224241186,0
SILTARA,multi_lstm,y_CO_t+1,0.3658143877983093,0.252503365278244,0.1161679861647612,0
SILTARA,multi_lstm,y_O3_t+1,2.591665267944336,0.25763237476348877,0.03867705951624989,0
SILTARA,multi_lstm,y_NH3_t+1,0.1436297446489334,0.10374455153942108,-3.5631891578129435,0
SILTARA,multi_lstm,y_NO_t+1,0.6190228462219238,0.420925110578537,0.6990020998220504,0
SILTARA,multi_lstm,y_NOX_t+1,0.37448015809059143,0.22979752719402313,0.746417638628939,0
SILTARA,multi_lstm,y_BENZ_t+1,0.12133917212486267,0.09120062738656998,-3.0349301573771017,0
